"Cluster","first_region","legend_label","hex"
110,"Cerebral Cortex","Cerebral Cortex","#969696"
111,"Hippocampus","Hippocampus","#41AB5D"
112,"Cerebral Cortex","Cerebral Cortex","#969696"
113,"Cerebral Cortex","Cerebral Cortex","#969696"
114,"Cerebral Cortex","Cerebral Cortex","#969696"
115,"Cerebral Cortex","Cerebral Cortex","#969696"
116,"Cerebral Cortex","Cerebral Cortex","#969696"
117,"Cerebral Cortex","Cerebral Cortex","#969696"
118,"Hippocampus","Hippocampus","#41AB5D"
119,"Hippocampus","Hippocampus","#41AB5D"
120,"Cerebral Cortex","Cerebral Cortex","#969696"
121,"Cerebral Cortex","Cerebral Cortex","#969696"
122,"Cerebral Cortex","Cerebral Cortex","#969696"
123,"Cerebral Cortex","Cerebral Cortex","#969696"
124,"Cerebral Cortex","Cerebral Cortex","#969696"
125,"Cerebral Cortex","Cerebral Cortex","#969696"
126,"Cerebral Cortex","Cerebral Cortex","#969696"
127,"Cerebral Cortex","Cerebral Cortex","#969696"
128,"Cerebral Cortex","Cerebral Cortex","#969696"
129,"Cerebral Cortex","Cerebral Cortex","#969696"
130,"Cerebral Cortex","Cerebral Cortex","#969696"
131,"Cerebral Cortex","Cerebral Cortex","#969696"
132,"Cerebral Cortex","Cerebral Cortex","#969696"
133,"Cerebral Cortex","Cerebral Cortex","#969696"
134,"Cerebral Cortex","Cerebral Cortex","#969696"
135,"Cerebral Cortex","Cerebral Cortex","#969696"
136,"Amygdala","Amygdala","#E31A1C"
137,"Cerebral Cortex","Cerebral Cortex","#969696"
138,"Cerebral Cortex","Cerebral Cortex","#969696"
139,"Cerebral Cortex","Cerebral Cortex","#969696"
140,"Cerebral Cortex","Cerebral Cortex","#969696"
141,"Cerebral Cortex","Cerebral Cortex","#969696"
142,"Cerebral Cortex","Cerebral Cortex","#969696"
143,"Cerebral Cortex","Cerebral Cortex","#969696"
144,"Cerebral Cortex","Cerebral Cortex","#969696"
145,"Cerebral Cortex","Cerebral Cortex","#969696"
146,"Amygdala","Amygdala","#E31A1C"
147,"Cerebral Cortex","Cerebral Cortex","#969696"
148,"Cerebral Cortex","Cerebral Cortex","#969696"
149,"Cerebral Cortex","Cerebral Cortex","#969696"
150,"Cerebral Cortex","Cerebral Cortex","#969696"
151,"Cerebral Cortex","Cerebral Cortex","#969696"
152,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
153,"Amygdala","Amygdala","#E31A1C"
154,"Amygdala","Amygdala","#E31A1C"
155,"Amygdala","Amygdala","#E31A1C"
156,"Amygdala","Amygdala","#E31A1C"
157,"Amygdala","Amygdala","#E31A1C"
158,"Amygdala","Amygdala","#E31A1C"
159,"Amygdala","Amygdala","#E31A1C"
160,"Amygdala","Amygdala","#E31A1C"
161,"Amygdala","Amygdala","#E31A1C"
162,"Amygdala","Amygdala","#E31A1C"
163,"Amygdala","Amygdala","#E31A1C"
164,"Cerebral Cortex","Cerebral Cortex","#969696"
165,"Cerebral Cortex","Cerebral Cortex","#969696"
166,"Cerebral Cortex","Cerebral Cortex","#969696"
167,"Hippocampus","Hippocampus","#41AB5D"
168,"Cerebral Cortex","Cerebral Cortex","#969696"
169,"Hippocampus","Hippocampus","#41AB5D"
170,"Hippocampus","Hippocampus","#41AB5D"
171,"Hippocampus","Hippocampus","#41AB5D"
172,"Cerebral Cortex","Cerebral Cortex","#969696"
173,"Hippocampus","Hippocampus","#41AB5D"
174,"Cerebral Cortex","Cerebral Cortex","#969696"
175,"Cerebral Cortex","Cerebral Cortex","#969696"
176,"Hippocampus","Hippocampus","#41AB5D"
177,"Hippocampus","Hippocampus","#41AB5D"
178,"Hippocampus","Hippocampus","#41AB5D"
179,"Hippocampus","Hippocampus","#41AB5D"
180,"Hippocampus","Hippocampus","#41AB5D"
181,"Hippocampus","Hippocampus","#41AB5D"
182,"Hippocampus","Hippocampus","#41AB5D"
183,"Hippocampus","Hippocampus","#41AB5D"
184,"Hippocampus","Hippocampus","#41AB5D"
185,"Hippocampus","Hippocampus","#41AB5D"
186,"Hippocampus","Hippocampus","#41AB5D"
187,"Hippocampus","Hippocampus","#41AB5D"
188,"Hippocampus","Hippocampus","#41AB5D"
189,"Hippocampus","Hippocampus","#41AB5D"
190,"Hippocampus","Hippocampus","#41AB5D"
191,"Hippocampus","Hippocampus","#41AB5D"
192,"Hippocampus","Hippocampus","#41AB5D"
193,"Hippocampus","Hippocampus","#41AB5D"
194,"Hippocampus","Hippocampus","#41AB5D"
195,"Hippocampus","Hippocampus","#41AB5D"
196,"Hippocampus","Hippocampus","#41AB5D"
197,"Hippocampus","Hippocampus","#41AB5D"
198,"Hippocampus","Hippocampus","#41AB5D"
199,"Hippocampus","Hippocampus","#41AB5D"
200,"Hippocampus","Hippocampus","#41AB5D"
201,"Hippocampus","Hippocampus","#41AB5D"
202,"Hippocampus","Hippocampus","#41AB5D"
203,"Hippocampus","Hippocampus","#41AB5D"
204,"Hippocampus","Hippocampus","#41AB5D"
205,"Hippocampus","Hippocampus","#41AB5D"
206,"Hippocampus","Hippocampus","#41AB5D"
207,"Basal Forebrain","Striatum + claustrum (CaB/GPe/Gpi/Pu/Cla)","#C7E9C0"
